date,day,time,teacher,location,payment_method,class_type,status,web,ref_number
2023-09-06,Wednesday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Absent,Yes,777130
2023-09-04,Monday,12:00 PM,Jenna Darfler,SE Hawthorne,TPY Membership,In Studio: All Level Hatha Flow,Signed in,Yes,777130
2023-08-30,Wednesday,12:00 PM,Jenna Darfler,SE Hawthorne,TPY Membership,In Studio: All Level Hatha Flow,Signed in,Yes,777130
2023-08-29,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,777130
2023-08-28,Monday,12:00 PM,Jenna Darfler,SE Hawthorne,TPY Membership,In Studio: All Level Hatha Flow,Signed in,Yes,777130
2023-08-24,Thursday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,777130
2023-08-23,Wednesday,12:00 PM,Jenna Darfler,SE Hawthorne,TPY Membership,In Studio: All Level Hatha Flow,Signed in,Yes,777130
2023-08-22,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,777130
2023-08-17,Thursday,5:45 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,777130
2023-08-17,Thursday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,777130
2023-08-16,Wednesday,12:00 PM,Suniti Dernovsek,NE Killingsworth,TPY Membership,In Studio: All Level Hatha Flow,Signed in,Yes,777130
2023-08-14,Monday,12:00 PM,Jenna Darfler,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: All Level Hatha Flow,Signed in,Yes,773605
2023-08-10,Thursday,12:00 PM,Abby Kraai,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: Vinyasa Flow,Signed in,Yes,773605
2023-08-09,Wednesday,12:00 PM,Jenna Darfler,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: All Level Hatha Flow,Signed in,Yes,773605
2023-08-08,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: Vinyasa/Restorative,Signed in,Yes,773605
2023-07-27,Thursday,4:00 PM,Kris Olson,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: Vinyasa/Restorative,Signed in,Yes,773605
2023-07-25,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: Vinyasa/Restorative,Signed in,Yes,773605
2023-07-24,Monday,12:00 PM,Jenna Darfler,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: All Level Hatha Flow,Signed in,Yes,773605
2023-07-19,Wednesday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: Vinyasa Flow,Signed in,Yes,773605
2023-07-12,Wednesday,12:00 PM,Jenna Darfler,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: All Level Hatha Flow,Signed in,Yes,773605
2023-07-11,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,July Member Promo - Bring A Friend,In Studio: Vinyasa/Restorative,Signed in,No,774196
2023-07-03,Monday,12:00 PM,Suniti Dernovsek,NE Killingsworth,10 Class Card - Senior/Student/Vet,In Studio: All Level Hatha Flow,Signed in,Yes,773605
2023-06-27,Tuesday,12:00 PM,Abby Kraai,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,771308
2023-06-26,Monday,12:00 PM,Suniti Dernovsek,NE Killingsworth,Scholarship $35.00,In Studio: All Level Hatha Flow,Signed in,Yes,771308
2023-06-22,Thursday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,771308
2023-06-20,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,771308
2023-06-13,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,771308
2023-06-12,Monday,7:30 AM,Donica Burdette,SE Hawthorne,Scholarship $35.00,In Studio: Morning Flow,Signed in,Yes,771308
2023-06-09,Friday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,771308
2023-06-08,Thursday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,771308
2023-06-06,Tuesday,12:00 PM,Abby Kraai,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,771308
2023-06-05,Monday,7:30 AM,Haleli Moalem,SE Hawthorne,Scholarship $35.00,In Studio: Morning Flow,Signed in,Yes,771308
2023-06-03,Saturday,10:45 AM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: All Level Hatha Flow,Signed in,Yes,771308
2023-05-30,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,768715
2023-05-29,Monday,7:30 AM,Haleli Moalem,SE Hawthorne,Scholarship $35.00,In Studio: Morning Flow,Signed in,Yes,768715
2023-05-25,Thursday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,768715
2023-05-23,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,768715
2023-05-21,Sunday,11:00 AM,Suniti Dernovsek,NE Killingsworth,Free Class,Teacher Training Info Session,Signed in,Yes,769074
2023-05-20,Saturday,10:45 AM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: All Level Hatha Flow,Signed in,Yes,768715
2023-05-16,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,768715
2023-05-15,Monday,7:30 AM,Alexa Rittichier,SE Hawthorne,Scholarship $35.00,In Studio: Morning Flow,Signed in,Yes,768715
2023-05-12,Friday,7:30 AM,Sally Garrido-Spencer,SE Hawthorne,Scholarship $35.00,In Studio: Morning Flow,Signed in,Yes,768715
2023-05-10,Wednesday,9:30 AM,Donica Burdette,NE Killingsworth,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,768715
2023-05-09,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,768715
2023-05-08,Monday,9:30 AM,Donica Burdette,NE Killingsworth,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,768715
2023-05-04,Thursday,5:45 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,No,768715
2023-05-04,Thursday,7:15 PM,Sally Garrido-Spencer,SE Hawthorne,Scholarship $35.00,In Studio: Yoga Nidra Practice,Signed in,Yes,768715
2023-05-04,Thursday,5:45 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,STREAMING: Vinyasa Flow,Signed in,Yes,768715
2023-05-03,Wednesday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,768715
2023-05-02,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,768715
2023-05-01,Monday,5:45 PM,Donica Burdette,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,766096
2023-04-29,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,766096
2023-04-27,Thursday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,766096
2023-04-26,Wednesday,5:45 PM,Donica Burdette,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,766096
2023-04-24,Monday,9:30 AM,Donica Burdette,NE Killingsworth,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,766096
2023-04-21,Friday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,766096
2023-04-20,Thursday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,766096
2023-04-18,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,No,766096
2023-04-17,Monday,9:30 AM,Donica Burdette,NE Killingsworth,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,766096
2023-04-15,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,766096
2023-04-13,Thursday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,766096
2023-04-12,Wednesday,9:30 AM,Donica Burdette,NE Killingsworth,Scholarship $35.00,In Studio: Vinyasa Flow,Late Cancel,Yes,766096
2023-04-08,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,766096
2023-04-04,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,766096
2023-03-31,Friday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,764482
2023-03-29,Wednesday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,764482
2023-03-27,Monday,9:30 AM,Donica Burdette,NE Killingsworth,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,764482
2023-03-24,Friday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,764482
2023-03-22,Wednesday,9:30 AM,Donica Burdette,NE Killingsworth,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,764482
2023-03-20,Monday,5:45 PM,Donica Burdette,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,764482
2023-03-18,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,764482
2023-03-17,Friday,4:00 PM,Monika Gold,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,764482
2023-03-14,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,764482
2023-03-13,Monday,5:45 PM,Donica Burdette,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,764482
2023-03-11,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,762059
2023-03-09,Thursday,12:00 PM,Abby Kraai,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,762059
2023-03-06,Monday,9:30 AM,Donica Burdette,NE Killingsworth,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,762059
2023-02-28,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,762059
2023-02-27,Monday,5:45 PM,Donica Burdette,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,762059
2023-02-26,Sunday,9:00 AM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Late Cancel,Yes,762059
2023-02-25,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,762059
2023-02-24,Friday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,762059
2023-02-20,Monday,5:45 PM,Donica Burdette,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,762059
2023-02-17,Friday,9:30 AM,April Fox,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,762059
2023-02-14,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,762059
2023-02-13,Monday,9:30 AM,Donica Burdette,NE Killingsworth,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,762059
2023-02-11,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,749351
2023-02-10,Friday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,749351
2023-02-07,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,749351
2023-02-06,Monday,12:00 PM,Patty Harding,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,749351
2023-02-03,Friday,12:00 PM,Kris Olson,NE Killingsworth,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,749351
2023-02-02,Thursday,9:30 AM,Richelle Ricard,SE Hawthorne,TPY Membership,In Studio: All Level Hatha Flow,Signed in,Yes,749351
2023-01-31,Tuesday,12:00 PM,Abby Kraai,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,749351
2023-01-30,Monday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,749351
2023-01-28,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,749351
2023-01-27,Friday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,749351
2023-01-25,Wednesday,9:30 AM,Donica Burdette,NE Killingsworth,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,749351
2023-01-24,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,749351
2023-01-23,Monday,5:45 PM,Donica Burdette,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,749351
